id,Datetime,Rainfall (mm),Discharge (ML/d),Turbidity (NTU),Discharge (cms),stormID,stormCount
580,2014-11-24 19:00:00,0.0,3.116,1.0,0.036,0,1
581,2014-11-24 20:00:00,0.0,21.642,21.5,0.25,0,1
582,2014-11-24 21:00:00,0.0,63.223,23.8,0.732,0,1
583,2014-11-24 22:00:00,0.0,46.31,15.4,0.536,0,1
584,2014-11-24 23:00:00,0.0,40.361,12.8,0.467,0,1
585,2014-11-25 00:00:00,0.5,40.823,13.4,0.472,0,1
586,2014-11-25 01:00:00,2.5,38.277,15.4,0.443,0,1
587,2014-11-25 02:00:00,0.0,33.031,16.1,0.382,0,1
588,2014-11-25 03:00:00,0.0,28.425,15.8,0.329,0,1
589,2014-11-25 04:00:00,0.0,24.423,14.7,0.283,0,1
590,2014-11-25 05:00:00,0.0,22.257,14.1,0.258,0,1
591,2014-11-25 06:00:00,0.0,20.678,14.7,0.239,0,1
592,2014-11-25 07:00:00,0.0,18.721,14.9,0.217,0,1
593,2014-11-25 08:00:00,0.0,26.566,14.2,0.307,0,1
594,2014-11-25 09:00:00,0.0,27.138,16.4,0.314,0,1
595,2014-11-25 10:00:00,0.0,22.45,16.3,0.26,0,1
596,2014-11-25 11:00:00,0.0,19.021,14.9,0.22,0,1
597,2014-11-25 12:00:00,0.0,15.942,13.5,0.185,0,1
598,2014-11-25 13:00:00,0.0,13.805,12.4,0.16,0,1
599,2014-11-25 14:00:00,0.0,12.25,11.5,0.142,0,1
725,2014-11-30 20:00:00,4.0,4.052,2.9,0.047,1,2
726,2014-11-30 21:00:00,0.5,5.004,2.9,0.058,1,2
727,2014-11-30 22:00:00,0.0,48.458,33.7,0.561,1,2
728,2014-11-30 23:00:00,0.0,213.112,98.3,2.467,1,2
729,2014-12-01 00:00:00,0.0,371.467,143.8,4.299,1,2
730,2014-12-01 01:00:00,0.0,247.0,83.0,2.859,1,2
731,2014-12-01 02:00:00,0.0,144.555,50.6,1.673,1,2
732,2014-12-01 03:00:00,0.0,104.642,41.2,1.211,1,2
733,2014-12-01 04:00:00,0.0,76.681,33.7,0.888,1,2
734,2014-12-01 05:00:00,0.0,63.61,29.8,0.736,1,2
735,2014-12-01 06:00:00,0.0,51.408,29.0,0.595,1,2
736,2014-12-01 07:00:00,0.0,43.329,28.2,0.501,1,2
737,2014-12-01 08:00:00,0.0,37.237,37.0,0.431,1,2
738,2014-12-01 09:00:00,0.0,32.198,36.5,0.373,1,2
739,2014-12-01 10:00:00,0.0,28.681,45.0,0.332,1,2
740,2014-12-01 11:00:00,0.5,25.516,52.3,0.295,1,2
741,2014-12-01 12:00:00,0.0,22.914,59.8,0.265,1,2
742,2014-12-01 13:00:00,0.0,21.445,56.0,0.248,1,2
743,2014-12-01 14:00:00,0.0,19.194,54.0,0.222,1,2
744,2014-12-01 15:00:00,0.0,17.813,52.8,0.206,1,2
745,2014-12-01 16:00:00,0.0,17.288,52.8,0.2,1,2
746,2014-12-01 17:00:00,0.0,16.855,48.3,0.195,1,2
747,2014-12-01 18:00:00,0.0,16.349,43.0,0.189,1,2
748,2014-12-01 19:00:00,0.0,15.501,38.8,0.179,1,2
749,2014-12-01 20:00:00,2.5,14.86,35.5,0.172,1,2
750,2014-12-01 21:00:00,0.0,15.602,28.2,0.181,1,2
751,2014-12-01 22:00:00,0.0,15.198,22.0,0.176,1,2
752,2014-12-01 23:00:00,0.0,14.372,20.0,0.166,1,2
753,2014-12-02 00:00:00,0.0,15.238,17.0,0.176,1,2
754,2014-12-02 01:00:00,1.5,58.758,28.8,0.68,1,2
755,2014-12-02 02:00:00,0.5,60.173,24.2,0.696,1,2
756,2014-12-02 03:00:00,0.0,44.223,21.5,0.512,1,2
757,2014-12-02 04:00:00,0.0,35.097,18.7,0.406,1,2
758,2014-12-02 05:00:00,0.0,29.599,18.0,0.343,1,2
759,2014-12-02 06:00:00,0.0,24.196,16.9,0.28,1,2
760,2014-12-02 07:00:00,0.0,21.204,16.1,0.245,1,2
761,2014-12-02 08:00:00,0.0,19.262,15.3,0.223,1,2
762,2014-12-02 09:00:00,0.0,17.551,14.6,0.203,1,2
763,2014-12-02 10:00:00,0.0,16.139,12.8,0.187,1,2
764,2014-12-02 11:00:00,0.0,15.786,11.7,0.183,1,2
765,2014-12-02 12:00:00,0.0,15.359,10.9,0.178,1,2
821,2014-12-04 20:00:00,30.0,7.672,11.1,0.089,2,3
822,2014-12-04 21:00:00,4.5,15.282,119.4,0.177,2,3
823,2014-12-04 22:00:00,2.0,14.694,20.4,0.17,2,3
824,2014-12-04 23:00:00,0.5,73.07,36.9,0.846,2,3
825,2014-12-05 00:00:00,0.0,535.742,127.6,6.201,2,3
826,2014-12-05 01:00:00,0.0,612.777,113.8,7.092,2,3
827,2014-12-05 02:00:00,0.0,395.766,82.8,4.581,2,3
828,2014-12-05 03:00:00,0.0,196.667,62.1,2.276,2,3
829,2014-12-05 04:00:00,0.0,121.566,57.4,1.407,2,3
830,2014-12-05 05:00:00,0.0,94.859,50.7,1.098,2,3
831,2014-12-05 06:00:00,0.0,80.406,46.4,0.931,2,3
832,2014-12-05 07:00:00,0.0,63.894,44.6,0.74,2,3
833,2014-12-05 08:00:00,0.0,57.069,44.5,0.661,2,3
834,2014-12-05 09:00:00,0.0,47.002,42.8,0.544,2,3
835,2014-12-05 10:00:00,0.0,41.617,38.2,0.482,2,3
836,2014-12-05 11:00:00,0.0,36.069,34.2,0.417,2,3
837,2014-12-05 12:00:00,0.0,33.323,31.1,0.386,2,3
838,2014-12-05 13:00:00,0.0,28.501,28.7,0.33,2,3
839,2014-12-05 14:00:00,1.0,26.278,27.8,0.304,2,3
840,2014-12-05 15:00:00,0.0,25.401,25.9,0.294,2,3
841,2014-12-05 16:00:00,0.0,24.384,22.7,0.282,2,3
842,2014-12-05 17:00:00,0.0,23.579,23.4,0.273,2,3
843,2014-12-05 18:00:00,0.0,22.555,21.7,0.261,2,3
844,2014-12-05 19:00:00,0.0,67.536,26.6,0.782,2,3
845,2014-12-05 20:00:00,0.0,95.769,26.1,1.108,2,3
846,2014-12-05 21:00:00,0.0,63.394,21.3,0.734,2,3
847,2014-12-05 22:00:00,0.0,45.817,19.3,0.53,2,3
848,2014-12-05 23:00:00,0.0,36.832,19.9,0.426,2,3
849,2014-12-06 00:00:00,0.5,29.147,19.7,0.337,2,3
850,2014-12-06 01:00:00,2.5,26.809,18.9,0.31,2,3
851,2014-12-06 02:00:00,1.0,25.025,18.5,0.29,2,3
852,2014-12-06 03:00:00,0.0,22.899,18.1,0.265,2,3
853,2014-12-06 04:00:00,0.5,21.688,16.6,0.251,2,3
854,2014-12-06 05:00:00,0.0,21.883,15.0,0.253,2,3
855,2014-12-06 06:00:00,0.0,21.982,13.7,0.254,2,3
856,2014-12-06 07:00:00,0.0,54.459,18.0,0.63,2,3
857,2014-12-06 08:00:00,0.0,61.272,18.2,0.709,2,3
858,2014-12-06 09:00:00,0.0,48.657,14.5,0.563,2,3
859,2014-12-06 10:00:00,0.0,41.061,11.7,0.475,2,3
860,2014-12-06 11:00:00,0.0,33.04,9.9,0.382,2,3
861,2014-12-06 12:00:00,0.0,30.457,8.9,0.353,2,3
862,2014-12-06 13:00:00,0.0,25.807,8.2,0.299,2,3
863,2014-12-06 14:00:00,0.5,21.009,8.2,0.243,2,3
864,2014-12-06 15:00:00,2.5,25.189,8.3,0.292,2,3
865,2014-12-06 16:00:00,0.0,23.647,7.8,0.274,2,3
866,2014-12-06 17:00:00,0.0,20.727,7.2,0.24,2,3
867,2014-12-06 18:00:00,0.0,25.73,7.7,0.298,2,3
868,2014-12-06 19:00:00,5.0,23.484,8.1,0.272,2,3
869,2014-12-06 20:00:00,6.0,24.515,8.7,0.284,2,3
870,2014-12-06 21:00:00,0.0,36.248,9.2,0.42,2,3
871,2014-12-06 22:00:00,0.0,41.653,8.5,0.482,2,3
872,2014-12-06 23:00:00,0.0,88.0,17.4,1.019,2,3
873,2014-12-07 00:00:00,0.0,425.22,69.4,4.922,2,3
874,2014-12-07 01:00:00,0.0,269.0,55.4,3.113,2,3
875,2014-12-07 02:00:00,0.0,148.207,41.8,1.715,2,3
876,2014-12-07 03:00:00,0.0,141.914,36.8,1.643,2,3
877,2014-12-07 04:00:00,0.0,116.476,37.3,1.348,2,3
878,2014-12-07 05:00:00,0.0,92.938,39.1,1.076,2,3
879,2014-12-07 06:00:00,0.0,89.557,51.3,1.037,2,3
880,2014-12-07 07:00:00,0.0,73.249,96.6,0.848,2,3
881,2014-12-07 08:00:00,0.0,56.488,116.7,0.654,2,3
882,2014-12-07 09:00:00,0.0,50.598,94.2,0.586,2,3
883,2014-12-07 10:00:00,0.0,50.43,67.2,0.584,2,3
884,2014-12-07 11:00:00,2.0,43.42,41.5,0.503,2,3
885,2014-12-07 12:00:00,0.0,39.356,29.4,0.456,2,3
886,2014-12-07 13:00:00,0.5,36.498,25.6,0.422,2,3
887,2014-12-07 14:00:00,0.5,37.224,26.4,0.431,2,3
888,2014-12-07 15:00:00,0.0,43.728,24.0,0.506,2,3
889,2014-12-07 16:00:00,0.5,73.264,23.2,0.848,2,3
890,2014-12-07 17:00:00,0.0,56.092,18.6,0.649,2,3
891,2014-12-07 18:00:00,0.0,44.313,15.3,0.513,2,3
892,2014-12-07 19:00:00,0.0,38.258,12.8,0.443,2,3
893,2014-12-07 20:00:00,0.0,35.907,11.2,0.416,2,3
894,2014-12-07 21:00:00,0.0,30.867,10.3,0.357,2,3
895,2014-12-07 22:00:00,0.0,27.864,9.3,0.322,2,3
896,2014-12-07 23:00:00,0.0,25.619,9.4,0.297,2,3
908,2014-12-08 11:00:00,2.5,24.574,5.4,0.284,3,4
909,2014-12-08 12:00:00,0.0,53.326,9.0,0.617,3,4
910,2014-12-08 13:00:00,4.0,50.29,8.7,0.582,3,4
911,2014-12-08 14:00:00,0.0,56.395,8.8,0.653,3,4
912,2014-12-08 15:00:00,0.0,181.644,37.1,2.102,3,4
913,2014-12-08 16:00:00,0.0,264.399,59.2,3.06,3,4
914,2014-12-08 17:00:00,0.0,323.268,73.3,3.742,3,4
915,2014-12-08 18:00:00,0.0,239.727,149.1,2.775,3,4
916,2014-12-08 19:00:00,0.0,164.659,358.7,1.906,3,4
917,2014-12-08 20:00:00,0.0,115.813,351.7,1.34,3,4
918,2014-12-08 21:00:00,0.0,102.842,251.0,1.19,3,4
919,2014-12-08 22:00:00,0.0,94.68,153.1,1.096,3,4
920,2014-12-08 23:00:00,0.0,74.648,105.2,0.864,3,4
921,2014-12-09 00:00:00,0.0,68.608,84.1,0.794,3,4
922,2014-12-09 01:00:00,0.0,63.266,57.5,0.732,3,4
923,2014-12-09 02:00:00,0.0,55.148,53.0,0.638,3,4
924,2014-12-09 03:00:00,0.0,49.933,42.9,0.578,3,4
925,2014-12-09 04:00:00,0.0,46.648,34.6,0.54,3,4
926,2014-12-09 05:00:00,0.0,44.329,29.2,0.513,3,4
927,2014-12-09 06:00:00,0.0,41.875,25.5,0.485,3,4
928,2014-12-09 07:00:00,0.0,39.305,24.3,0.455,3,4
929,2014-12-09 08:00:00,0.0,37.036,20.5,0.429,3,4
930,2014-12-09 09:00:00,0.0,35.244,18.6,0.408,3,4
931,2014-12-09 10:00:00,0.0,33.884,16.0,0.392,3,4
932,2014-12-09 11:00:00,0.0,33.079,14.3,0.383,3,4
933,2014-12-09 12:00:00,0.0,32.157,12.7,0.372,3,4
934,2014-12-09 13:00:00,0.0,31.47,11.6,0.364,3,4
935,2014-12-09 14:00:00,0.0,30.578,11.2,0.354,3,4
936,2014-12-09 15:00:00,0.0,29.554,10.5,0.342,3,4
937,2014-12-09 16:00:00,0.0,28.754,10.2,0.333,3,4
938,2014-12-09 17:00:00,0.0,28.028,9.6,0.324,3,4
939,2014-12-09 18:00:00,0.0,27.059,9.2,0.313,3,4
961,2014-12-10 16:00:00,0.0,19.375,7.9,0.224,4,5
962,2014-12-10 17:00:00,9.5,20.555,7.5,0.238,4,5
963,2014-12-10 18:00:00,5.5,54.1,27.0,0.626,4,5
964,2014-12-10 19:00:00,0.0,461.961,163.0,5.347,4,5
965,2014-12-10 20:00:00,0.0,422.083,117.4,4.885,4,5
966,2014-12-10 21:00:00,2.5,469.974,105.1,5.44,4,5
967,2014-12-10 22:00:00,0.0,369.359,101.4,4.275,4,5
968,2014-12-10 23:00:00,0.0,177.606,87.0,2.056,4,5
969,2014-12-11 00:00:00,0.0,126.509,77.7,1.464,4,5
970,2014-12-11 01:00:00,0.0,117.468,79.8,1.36,4,5
971,2014-12-11 02:00:00,0.0,128.111,79.0,1.483,4,5
972,2014-12-11 03:00:00,0.0,109.02,77.4,1.262,4,5
973,2014-12-11 04:00:00,1.5,93.872,69.3,1.086,4,5
974,2014-12-11 05:00:00,0.0,81.321,62.3,0.941,4,5
975,2014-12-11 06:00:00,0.0,71.844,54.1,0.832,4,5
976,2014-12-11 07:00:00,0.0,67.391,39.3,0.78,4,5
977,2014-12-11 08:00:00,0.0,66.23,35.0,0.767,4,5
978,2014-12-11 09:00:00,0.0,79.102,39.3,0.916,4,5
979,2014-12-11 10:00:00,0.0,72.38,34.0,0.838,4,5
980,2014-12-11 11:00:00,0.0,61.352,27.4,0.71,4,5
981,2014-12-11 12:00:00,0.0,54.597,22.4,0.632,4,5
982,2014-12-11 13:00:00,0.0,50.73,18.8,0.587,4,5
983,2014-12-11 14:00:00,5.5,48.35,17.0,0.56,4,5
984,2014-12-11 15:00:00,0.0,47.694,15.0,0.552,4,5
985,2014-12-11 16:00:00,0.0,46.287,13.3,0.536,4,5
986,2014-12-11 17:00:00,0.0,45.256,13.2,0.524,4,5
987,2014-12-11 18:00:00,0.0,47.66,14.2,0.552,4,5
988,2014-12-11 19:00:00,0.0,81.992,23.9,0.949,4,5
989,2014-12-11 20:00:00,0.5,73.084,25.4,0.846,4,5
990,2014-12-11 21:00:00,0.0,55.241,16.8,0.639,4,5
991,2014-12-11 22:00:00,0.0,45.403,14.1,0.525,4,5
992,2014-12-11 23:00:00,0.0,40.086,13.2,0.464,4,5
993,2014-12-12 00:00:00,0.5,38.225,12.6,0.442,4,5
994,2014-12-12 01:00:00,0.5,72.824,17.9,0.843,4,5
995,2014-12-12 02:00:00,0.5,107.923,22.5,1.249,4,5
996,2014-12-12 03:00:00,0.5,86.774,19.6,1.004,4,5
997,2014-12-12 04:00:00,0.0,63.556,16.7,0.736,4,5
998,2014-12-12 05:00:00,0.0,54.655,15.1,0.633,4,5
999,2014-12-12 06:00:00,0.0,65.708,15.4,0.761,4,5
1000,2014-12-12 07:00:00,0.0,79.866,16.1,0.924,4,5
1001,2014-12-12 08:00:00,0.0,66.795,15.8,0.773,4,5
1002,2014-12-12 09:00:00,0.0,55.058,15.7,0.637,4,5
1003,2014-12-12 10:00:00,0.0,48.609,14.9,0.563,4,5
1004,2014-12-12 11:00:00,0.0,45.062,12.7,0.522,4,5
1005,2014-12-12 12:00:00,0.0,42.937,10.5,0.497,4,5
1006,2014-12-12 13:00:00,0.0,40.898,9.5,0.473,4,5
1007,2014-12-12 14:00:00,0.0,38.919,9.6,0.45,4,5
1008,2014-12-12 15:00:00,0.0,37.474,10.1,0.434,4,5
1009,2014-12-12 16:00:00,0.0,36.464,10.4,0.422,4,5
1010,2014-12-12 17:00:00,0.0,35.276,10.0,0.408,4,5
1011,2014-12-12 18:00:00,0.0,33.338,9.6,0.386,4,5
1012,2014-12-12 19:00:00,0.0,31.782,9.3,0.368,4,5
1013,2014-12-12 20:00:00,0.0,30.427,10.3,0.352,4,5
1014,2014-12-12 21:00:00,0.0,29.286,10.9,0.339,4,5
1015,2014-12-12 22:00:00,0.0,28.375,9.9,0.328,4,5
1016,2014-12-12 23:00:00,0.0,27.998,8.6,0.324,4,5
1017,2014-12-13 00:00:00,0.0,28.085,7.8,0.325,4,5
1018,2014-12-13 01:00:00,0.0,27.769,7.4,0.321,4,5
1019,2014-12-13 02:00:00,0.0,27.569,8.3,0.319,4,5
1020,2014-12-13 03:00:00,0.0,27.171,9.6,0.314,4,5
1021,2014-12-13 04:00:00,0.0,26.387,9.9,0.305,4,5
1022,2014-12-13 05:00:00,0.0,25.32,7.8,0.293,4,5
1023,2014-12-13 06:00:00,0.0,24.437,7.5,0.283,4,5
1269,2014-12-23 12:00:00,0.0,17.081,2.0,0.198,5,6
1270,2014-12-23 13:00:00,7.0,15.912,2.6,0.184,5,6
1271,2014-12-23 14:00:00,0.0,17.682,3.3,0.205,5,6
1272,2014-12-23 15:00:00,0.0,17.486,2.3,0.202,5,6
1273,2014-12-23 16:00:00,0.0,16.431,2.0,0.19,5,6
1274,2014-12-23 17:00:00,0.0,22.016,3.9,0.255,5,6
1275,2014-12-23 18:00:00,0.5,86.65,47.7,1.003,5,6
1276,2014-12-23 19:00:00,0.0,82.83,42.2,0.959,5,6
1277,2014-12-23 20:00:00,0.0,53.914,20.6,0.624,5,6
1278,2014-12-23 21:00:00,0.5,42.459,15.0,0.491,5,6
1279,2014-12-23 22:00:00,0.0,32.695,13.9,0.378,5,6
1280,2014-12-23 23:00:00,0.0,27.068,12.6,0.313,5,6
1281,2014-12-24 00:00:00,0.0,23.544,10.9,0.272,5,6
1282,2014-12-24 01:00:00,0.0,20.841,9.6,0.241,5,6
1283,2014-12-24 02:00:00,0.0,20.318,8.1,0.235,5,6
1284,2014-12-24 03:00:00,0.0,19.783,7.1,0.229,5,6
1285,2014-12-24 04:00:00,0.0,19.738,6.3,0.228,5,6
1286,2014-12-24 05:00:00,0.0,20.155,5.4,0.233,5,6
1287,2014-12-24 06:00:00,0.0,18.61,4.7,0.215,5,6
1322,2014-12-25 17:00:00,0.5,12.878,3.3,0.149,6,7
1323,2014-12-25 18:00:00,2.5,15.654,2.7,0.181,6,7
1324,2014-12-25 19:00:00,6.0,61.707,21.2,0.714,6,7
1325,2014-12-25 20:00:00,3.5,91.259,37.7,1.056,6,7
1326,2014-12-25 21:00:00,0.0,63.548,26.6,0.736,6,7
1327,2014-12-25 22:00:00,0.0,66.349,15.9,0.768,6,7
1328,2014-12-25 23:00:00,0.0,222.125,70.9,2.571,6,7
1329,2014-12-26 00:00:00,0.0,293.896,70.4,3.402,6,7
1330,2014-12-26 01:00:00,0.0,172.991,51.2,2.002,6,7
1331,2014-12-26 02:00:00,0.0,104.507,35.5,1.21,6,7
1332,2014-12-26 03:00:00,0.0,74.755,28.6,0.865,6,7
1333,2014-12-26 04:00:00,0.0,59.933,26.2,0.694,6,7
1334,2014-12-26 05:00:00,0.0,50.753,24.6,0.587,6,7
1335,2014-12-26 06:00:00,0.0,45.029,24.0,0.521,6,7
1336,2014-12-26 07:00:00,0.0,45.106,24.7,0.522,6,7
1337,2014-12-26 08:00:00,0.5,46.724,26.3,0.541,6,7
1338,2014-12-26 09:00:00,0.0,44.603,26.7,0.516,6,7
1339,2014-12-26 10:00:00,0.0,41.296,27.0,0.478,6,7
1340,2014-12-26 11:00:00,0.0,38.299,25.3,0.443,6,7
1341,2014-12-26 12:00:00,0.0,36.664,23.8,0.424,6,7
1342,2014-12-26 13:00:00,0.0,38.021,22.9,0.44,6,7
1343,2014-12-26 14:00:00,0.0,39.406,19.7,0.456,6,7
1344,2014-12-26 15:00:00,0.0,39.862,15.7,0.461,6,7
1345,2014-12-26 16:00:00,0.0,36.609,13.9,0.424,6,7
1346,2014-12-26 17:00:00,0.0,33.529,12.7,0.388,6,7
1347,2014-12-26 18:00:00,0.0,32.415,10.3,0.375,6,7
1348,2014-12-26 19:00:00,0.0,30.62,8.0,0.354,6,7
1349,2014-12-26 20:00:00,0.0,26.181,7.3,0.303,6,7
1350,2014-12-26 21:00:00,0.0,24.49,5.6,0.283,6,7
1351,2014-12-26 22:00:00,0.0,23.523,5.3,0.272,6,7
1352,2014-12-26 23:00:00,0.0,21.671,4.7,0.251,6,7
1353,2014-12-27 00:00:00,0.0,20.271,4.3,0.235,6,7
1515,2015-01-02 18:00:00,0.5,7.273,0.9,0.084,7,8
1516,2015-01-02 19:00:00,0.0,29.863,17.9,0.346,7,8
1517,2015-01-02 20:00:00,0.0,66.867,20.1,0.774,7,8
1518,2015-01-02 21:00:00,0.0,62.563,13.2,0.724,7,8
1519,2015-01-02 22:00:00,0.0,47.941,11.4,0.555,7,8
1520,2015-01-02 23:00:00,0.0,36.783,10.9,0.426,7,8
1521,2015-01-03 00:00:00,0.0,28.864,10.3,0.334,7,8
1522,2015-01-03 01:00:00,0.0,25.41,9.8,0.294,7,8
1523,2015-01-03 02:00:00,0.0,22.336,9.0,0.259,7,8
1524,2015-01-03 03:00:00,0.0,20.419,8.7,0.236,7,8
1525,2015-01-03 04:00:00,0.0,19.119,8.5,0.221,7,8
1526,2015-01-03 05:00:00,0.0,20.449,16.3,0.237,7,8
1527,2015-01-03 06:00:00,0.0,23.296,73.3,0.27,7,8
1528,2015-01-03 07:00:00,0.0,24.304,225.8,0.281,7,8
1529,2015-01-03 08:00:00,0.0,23.575,365.3,0.273,7,8
1530,2015-01-03 09:00:00,0.0,22.256,442.1,0.258,7,8
1531,2015-01-03 10:00:00,0.0,21.663,393.4,0.251,7,8
1532,2015-01-03 11:00:00,0.0,20.626,321.7,0.239,7,8
1533,2015-01-03 12:00:00,0.0,19.944,229.4,0.231,7,8
1534,2015-01-03 13:00:00,0.0,19.738,164.2,0.228,7,8
1535,2015-01-03 14:00:00,0.0,18.121,113.6,0.21,7,8
1536,2015-01-03 15:00:00,0.0,17.201,84.9,0.199,7,8
1537,2015-01-03 16:00:00,0.0,16.772,54.4,0.194,7,8
1562,2015-01-04 17:00:00,2.0,8.475,5.6,0.098,8,9
1563,2015-01-04 18:00:00,1.5,9.386,6.1,0.109,8,9
1564,2015-01-04 19:00:00,2.5,13.051,6.5,0.151,8,9
1565,2015-01-04 20:00:00,2.5,1549.374,384.2,17.933,8,9
1566,2015-01-04 21:00:00,0.0,2114.072,267.5,24.468,8,9
1567,2015-01-04 22:00:00,0.0,908.336,286.5,10.513,8,9
1568,2015-01-04 23:00:00,0.0,537.083,193.5,6.216,8,9
1569,2015-01-05 00:00:00,0.0,505.124,370.3,5.846,8,9
1570,2015-01-05 01:00:00,0.0,505.642,274.1,5.852,8,9
1571,2015-01-05 02:00:00,0.0,475.484,148.0,5.503,8,9
1572,2015-01-05 03:00:00,0.0,428.469,85.8,4.959,8,9
1573,2015-01-05 04:00:00,0.0,378.387,67.6,4.379,8,9
1574,2015-01-05 05:00:00,0.5,285.334,56.1,3.302,8,9
1575,2015-01-05 06:00:00,0.0,171.484,50.4,1.985,8,9
1576,2015-01-05 07:00:00,0.0,124.686,42.5,1.443,8,9
1577,2015-01-05 08:00:00,0.0,103.526,36.8,1.198,8,9
1578,2015-01-05 09:00:00,0.0,90.399,32.5,1.046,8,9
1579,2015-01-05 10:00:00,0.0,79.815,28.4,0.924,8,9
1580,2015-01-05 11:00:00,0.0,71.354,24.9,0.826,8,9
1581,2015-01-05 12:00:00,0.0,65.989,21.9,0.764,8,9
1582,2015-01-05 13:00:00,0.0,61.084,19.8,0.707,8,9
1583,2015-01-05 14:00:00,0.0,56.626,16.9,0.655,8,9
1584,2015-01-05 15:00:00,0.0,53.223,15.3,0.616,8,9
1585,2015-01-05 16:00:00,0.0,49.804,14.2,0.576,8,9
1586,2015-01-05 17:00:00,0.0,51.83,13.4,0.6,8,9
1587,2015-01-05 18:00:00,0.0,54.319,12.5,0.629,8,9
1588,2015-01-05 19:00:00,0.0,51.903,11.6,0.601,8,9
1589,2015-01-05 20:00:00,0.0,46.886,11.3,0.543,8,9
1590,2015-01-05 21:00:00,0.0,45.264,11.1,0.524,8,9
1591,2015-01-05 22:00:00,0.0,43.381,10.7,0.502,8,9
1592,2015-01-05 23:00:00,0.0,41.291,9.7,0.478,8,9
1593,2015-01-06 00:00:00,0.0,40.863,9.0,0.473,8,9
1594,2015-01-06 01:00:00,0.0,39.582,7.9,0.458,8,9
1595,2015-01-06 02:00:00,0.0,37.712,7.9,0.436,8,9
1596,2015-01-06 03:00:00,0.0,37.307,7.7,0.432,8,9
1597,2015-01-06 04:00:00,0.0,35.9,7.2,0.416,8,9
1598,2015-01-06 05:00:00,0.0,33.722,7.0,0.39,8,9
1599,2015-01-06 06:00:00,0.0,32.51,7.6,0.376,8,9
1600,2015-01-06 07:00:00,0.0,30.579,7.1,0.354,8,9
1601,2015-01-06 08:00:00,0.0,28.844,6.5,0.334,8,9
1602,2015-01-06 09:00:00,0.0,28.058,5.8,0.325,8,9
1603,2015-01-06 10:00:00,0.0,26.805,5.7,0.31,8,9
1604,2015-01-06 11:00:00,0.0,26.863,5.3,0.311,8,9
1605,2015-01-06 12:00:00,0.0,27.488,5.2,0.318,8,9
1606,2015-01-06 13:00:00,0.0,25.32,4.9,0.293,8,9
1607,2015-01-06 14:00:00,0.0,25.976,4.7,0.301,8,9
1608,2015-01-06 15:00:00,0.0,26.526,4.6,0.307,8,9
1609,2015-01-06 16:00:00,0.0,27.002,4.5,0.313,8,9
1610,2015-01-06 17:00:00,0.0,26.974,4.2,0.312,8,9
1611,2015-01-06 18:00:00,0.0,25.782,4.2,0.298,8,9
1612,2015-01-06 19:00:00,0.0,25.591,4.2,0.296,8,9
1613,2015-01-06 20:00:00,0.0,24.755,4.2,0.287,8,9
1690,2015-01-10 01:00:00,0.0,14.487,2.8,0.168,9,10
1691,2015-01-10 02:00:00,0.0,14.962,3.2,0.173,9,10
1692,2015-01-10 03:00:00,0.0,37.093,7.7,0.429,9,10
1693,2015-01-10 04:00:00,0.0,139.202,32.2,1.611,9,10
1694,2015-01-10 05:00:00,0.0,96.502,28.7,1.117,9,10
1695,2015-01-10 06:00:00,0.0,65.156,25.7,0.754,9,10
1696,2015-01-10 07:00:00,0.0,45.68,26.9,0.529,9,10
1697,2015-01-10 08:00:00,0.0,38.999,26.8,0.451,9,10
1698,2015-01-10 09:00:00,0.0,32.817,27.4,0.38,9,10
1699,2015-01-10 10:00:00,0.0,28.272,20.1,0.327,9,10
1700,2015-01-10 11:00:00,0.0,25.057,16.8,0.29,9,10
1701,2015-01-10 12:00:00,0.0,24.702,14.4,0.286,9,10
1702,2015-01-10 13:00:00,0.0,24.2,12.4,0.28,9,10
1703,2015-01-10 14:00:00,0.0,25.322,11.0,0.293,9,10
1704,2015-01-10 15:00:00,0.0,25.536,9.9,0.296,9,10
1705,2015-01-10 16:00:00,0.5,25.481,9.7,0.295,9,10
1706,2015-01-10 17:00:00,0.5,24.728,9.2,0.286,9,10
1707,2015-01-10 18:00:00,1.0,23.454,8.3,0.271,9,10
1708,2015-01-10 19:00:00,0.0,22.23,7.3,0.257,9,10
1709,2015-01-10 20:00:00,1.0,153.979,39.3,1.782,9,10
1710,2015-01-10 21:00:00,0.0,168.864,57.4,1.954,9,10
1711,2015-01-10 22:00:00,1.5,101.657,59.9,1.177,9,10
1712,2015-01-10 23:00:00,0.5,76.398,53.3,0.884,9,10
1713,2015-01-11 00:00:00,0.5,60.894,43.8,0.705,9,10
1714,2015-01-11 01:00:00,0.0,53.764,35.9,0.622,9,10
1715,2015-01-11 02:00:00,0.0,49.925,32.6,0.578,9,10
1716,2015-01-11 03:00:00,0.5,47.374,32.3,0.548,9,10
1717,2015-01-11 04:00:00,2.0,44.887,31.0,0.52,9,10
1718,2015-01-11 05:00:00,0.5,43.456,27.2,0.503,9,10
1719,2015-01-11 06:00:00,1.0,41.377,23.9,0.479,9,10
1720,2015-01-11 07:00:00,1.0,38.471,20.9,0.445,9,10
1721,2015-01-11 08:00:00,2.5,37.524,17.8,0.434,9,10
1722,2015-01-11 09:00:00,2.0,55.88,19.0,0.647,9,10
1723,2015-01-11 10:00:00,2.5,69.772,17.6,0.808,9,10
1724,2015-01-11 11:00:00,2.0,76.121,15.5,0.881,9,10
